GAME_ID,TEAM_ABBREVIATION_HOME,WL_HOME,MIN_HOME,FGA_HOME,FG3A_HOME,FTA_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,TEAM_ABBREVIATION_AWAY,FGA_AWAY,FG3A_AWAY,FTA_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY
29000548,SEA,1,240,85,9,18,35,35,12,5,18,29,ATL,75,17,34,34,19,9,3,24,21
29000550,HOU,1,240,79,13,27,40,15,16,2,26,24,CLE,74,5,28,37,18,14,2,25,18
29000551,PHX,1,240,91,2,26,50,30,10,7,13,20,NYK,85,5,20,34,27,6,7,13,22
29000549,POR,1,240,82,8,34,40,33,7,5,11,23,SAC,70,6,33,28,28,6,4,9,22
29000543,SAN,1,240,82,1,41,50,30,9,12,16,21,MIN,94,2,30,45,15,8,4,11,27
29000547,DEN,1,240,101,14,22,44,22,13,7,14,28,UTH,85,4,42,49,21,7,6,21,24
29000544,LAC,1,240,89,4,25,50,27,9,7,17,22,MIL,85,8,28,36,18,10,2,14,25
29000553,MIA,0,240,84,5,17,37,23,5,5,27,29,NJN,92,7,33,40,26,15,8,14,20
29000545,ORL,0,240,99,10,30,41,12,10,1,13,27,DET,83,3,32,54,25,8,14,17,25
29000546,CHH,1,240,84,9,22,48,16,11,5,22,21,PHL,71,4,20,38,18,9,4,21,22
29000554,BOS,0,240,79,0,18,37,20,8,2,13,18,LAL,82,11,18,36,29,10,0,11,17
29000559,GOS,1,240,96,12,27,45,23,13,3,12,23,NYK,86,9,28,45,28,11,5,21,26
29000560,SAN,1,240,89,6,30,47,31,7,12,20,21,SEA,101,4,19,45,30,13,4,19,28
29000555,DET,1,240,76,7,27,43,12,2,5,12,15,WAS,84,7,13,40,25,5,5,11,22
29000556,POR,1,240,86,15,36,43,27,7,5,15,22,ATL,89,14,31,40,20,7,5,15,25
29000558,SAC,1,240,81,1,25,47,27,14,8,15,31,NJN,79,9,47,49,16,9,6,18,22
29000557,MIN,0,240,98,4,33,43,21,12,7,9,21,BOS,89,5,15,57,28,7,8,21,25
29000562,LAL,1,240,92,6,42,59,23,10,10,16,27,NJN,93,6,37,53,22,7,5,13,26
29000566,LAC,0,265,96,3,22,48,28,12,10,16,22,NYK,94,3,28,48,20,10,4,21,19
